188.114.99.139:2408,0.00%,115 ms
188.114.97.148:1843,0.00%,115 ms
188.114.98.59:2408,0.00%,116 ms
188.114.98.90:2408,0.00%,117 ms
162.159.195.209:1843,0.00%,117 ms
188.114.96.8:2408,0.00%,117 ms
188.114.99.4:2408,0.00%,117 ms
188.114.96.218:1843,0.00%,117 ms
188.114.97.13:1843,0.00%,118 ms
162.159.192.103:1843,0.00%,118 ms
162.159.195.2:1843,0.00%,118 ms
188.114.98.177:2408,0.00%,118 ms
188.114.96.71:2408,0.00%,118 ms
188.114.98.90:1843,0.00%,119 ms
162.159.192.68:1843,0.00%,119 ms
188.114.98.192:1843,0.00%,120 ms
188.114.96.28:1843,0.00%,120 ms
162.159.192.122:1843,0.00%,120 ms
188.114.96.241:1843,0.00%,120 ms
188.114.98.18:2408,0.00%,120 ms
188.114.97.32:2408,0.00%,120 ms
188.114.96.35:2408,0.00%,120 ms
188.114.98.201:1843,0.00%,120 ms
162.159.192.106:1843,0.00%,120 ms
188.114.99.222:1843,0.00%,121 ms
162.159.192.109:1843,0.00%,121 ms
188.114.98.201:2408,0.00%,121 ms
188.114.99.172:2408,0.00%,121 ms
188.114.98.177:1843,0.00%,121 ms
188.114.96.187:2408,0.00%,121 ms
188.114.99.144:2408,0.00%,121 ms
188.114.97.13:2408,0.00%,121 ms
188.114.96.243:2408,0.00%,121 ms
188.114.98.119:1843,0.00%,121 ms
188.114.98.18:1843,0.00%,122 ms
188.114.96.87:1843,0.00%,122 ms
188.114.97.208:2408,0.00%,122 ms
188.114.97.32:1843,0.00%,122 ms
162.159.195.174:1843,0.00%,122 ms
188.114.97.59:1843,0.00%,122 ms
188.114.96.53:2408,0.00%,122 ms
162.159.192.169:1843,0.00%,122 ms
188.114.98.192:2408,0.00%,122 ms
188.114.96.241:2408,0.00%,122 ms
188.114.99.222:2408,0.00%,122 ms
188.114.99.133:1843,0.00%,123 ms
162.159.195.141:1843,0.00%,123 ms
188.114.99.43:2408,0.00%,123 ms
162.159.192.38:1843,0.00%,123 ms
162.159.192.177:1843,0.00%,123 ms
188.114.96.112:1843,0.00%,123 ms
188.114.96.87:2408,0.00%,123 ms
188.114.98.119:2408,0.00%,123 ms
188.114.99.201:1843,0.00%,123 ms
188.114.96.28:2408,0.00%,123 ms
188.114.96.62:2408,0.00%,123 ms
188.114.96.62:1843,0.00%,123 ms
188.114.97.203:1843,0.00%,124 ms
188.114.99.178:1843,0.00%,124 ms
188.114.96.14:1843,0.00%,124 ms
188.114.99.201:2408,0.00%,124 ms
162.159.192.206:1843,0.00%,124 ms
188.114.99.43:1843,0.00%,124 ms
188.114.97.203:2408,0.00%,124 ms
188.114.99.4:1843,0.00%,124 ms
162.159.195.70:1843,0.00%,124 ms
188.114.96.243:1843,0.00%,124 ms
188.114.97.148:2408,0.00%,124 ms
188.114.99.162:2408,0.00%,124 ms
188.114.97.208:1843,0.00%,124 ms
188.114.97.70:2408,0.00%,125 ms
188.114.96.112:2408,0.00%,125 ms
188.114.98.22:1843,0.00%,125 ms
162.159.195.191:1843,0.00%,125 ms
188.114.97.181:2408,0.00%,125 ms
188.114.96.187:1843,0.00%,125 ms
188.114.96.35:1843,0.00%,125 ms
162.159.192.69:1843,0.00%,125 ms
188.114.99.144:1843,0.00%,125 ms
188.114.97.202:2408,0.00%,125 ms
188.114.99.46:1843,0.00%,125 ms
162.159.195.78:1843,0.00%,125 ms
188.114.98.183:2408,0.00%,125 ms
188.114.97.252:2408,0.00%,125 ms
188.114.97.121:1843,0.00%,126 ms
188.114.99.11:1843,0.00%,126 ms
162.159.192.164:1843,0.00%,126 ms
188.114.99.133:2408,0.00%,126 ms
188.114.97.181:1843,0.00%,126 ms
188.114.97.121:2408,0.00%,126 ms
188.114.98.183:1843,0.00%,126 ms
188.114.96.71:1843,0.00%,126 ms
188.114.97.152:1843,0.00%,126 ms
188.114.97.157:2408,0.00%,126 ms
188.114.97.157:1843,0.00%,126 ms
188.114.98.194:1843,0.00%,126 ms
188.114.97.152:2408,0.00%,126 ms
188.114.99.139:1843,0.00%,127 ms
188.114.98.59:1843,0.00%,127 ms
162.159.195.169:1843,0.00%,127 ms
188.114.96.8:1843,0.00%,127 ms
188.114.96.218:2408,0.00%,127 ms
188.114.99.11:2408,0.00%,127 ms
188.114.97.202:1843,0.00%,127 ms
188.114.98.194:2408,0.00%,127 ms
188.114.97.88:1843,0.00%,128 ms
188.114.97.59:2408,0.00%,128 ms
188.114.98.144:2408,0.00%,128 ms
188.114.99.172:1843,0.00%,128 ms
188.114.96.190:1843,0.00%,128 ms
162.159.195.13:1843,0.00%,128 ms
162.159.195.233:1843,0.00%,129 ms
188.114.99.178:2408,0.00%,129 ms
188.114.99.162:1843,0.00%,129 ms
188.114.96.53:1843,0.00%,129 ms
188.114.98.22:2408,0.00%,129 ms
188.114.96.190:2408,0.00%,129 ms
188.114.99.46:2408,0.00%,130 ms
188.114.97.252:1843,0.00%,131 ms
188.114.98.144:1843,0.00%,131 ms
162.159.195.131:1843,0.00%,131 ms
162.159.195.0:1843,0.00%,132 ms
188.114.96.14:2408,0.00%,132 ms
188.114.97.70:1843,0.00%,132 ms
188.114.97.88:2408,0.00%,134 ms
162.159.192.106:2408,100.00%,1000 ms
162.159.195.0:2408,100.00%,1000 ms
162.159.192.169:2408,100.00%,1000 ms
162.159.192.103:2408,100.00%,1000 ms
162.159.193.183:2408,100.00%,1000 ms
162.159.193.101:2408,100.00%,1000 ms
162.159.192.206:2408,100.00%,1000 ms
162.159.193.156:1843,100.00%,1000 ms
162.159.192.69:2408,100.00%,1000 ms
162.159.192.164:2408,100.00%,1000 ms
162.159.193.198:2408,100.00%,1000 ms
162.159.192.38:2408,100.00%,1000 ms
162.159.193.198:1843,100.00%,1000 ms
162.159.192.177:2408,100.00%,1000 ms
162.159.193.101:1843,100.00%,1000 ms
162.159.193.141:1843,100.00%,1000 ms
162.159.193.156:2408,100.00%,1000 ms
162.159.192.68:2408,100.00%,1000 ms
162.159.193.141:2408,100.00%,1000 ms
162.159.193.193:1843,100.00%,1000 ms
162.159.193.233:1843,100.00%,1000 ms
162.159.193.183:1843,100.00%,1000 ms
162.159.193.242:2408,100.00%,1000 ms
162.159.193.76:1843,100.00%,1000 ms
162.159.193.46:2408,100.00%,1000 ms
162.159.193.214:2408,100.00%,1000 ms
162.159.193.242:1843,100.00%,1000 ms
162.159.195.2:2408,100.00%,1000 ms
162.159.193.46:1843,100.00%,1000 ms
162.159.193.76:2408,100.00%,1000 ms
162.159.193.214:1843,100.00%,1000 ms
162.159.193.233:2408,100.00%,1000 ms
162.159.193.251:2408,100.00%,1000 ms
162.159.193.216:1843,100.00%,1000 ms
162.159.193.193:2408,100.00%,1000 ms
162.159.193.251:1843,100.00%,1000 ms
162.159.193.216:2408,100.00%,1000 ms
162.159.192.109:2408,100.00%,1000 ms
162.159.195.13:2408,100.00%,1000 ms
162.159.195.255:1843,100.00%,1000 ms
162.159.195.191:2408,100.00%,1000 ms
162.159.195.255:2408,100.00%,1000 ms
162.159.195.174:2408,100.00%,1000 ms
162.159.204.172:1843,100.00%,1000 ms
162.159.195.209:2408,100.00%,1000 ms
162.159.195.70:2408,100.00%,1000 ms
162.159.204.0:1843,100.00%,1000 ms
162.159.195.141:2408,100.00%,1000 ms
162.159.204.49:2408,100.00%,1000 ms
162.159.195.169:2408,100.00%,1000 ms
162.159.195.131:2408,100.00%,1000 ms
162.159.195.78:2408,100.00%,1000 ms
162.159.195.233:2408,100.00%,1000 ms
162.159.204.71:1843,100.00%,1000 ms
162.159.204.152:2408,100.00%,1000 ms
162.159.204.33:1843,100.00%,1000 ms
162.159.204.178:1843,100.00%,1000 ms
162.159.204.17:1843,100.00%,1000 ms
162.159.204.39:2408,100.00%,1000 ms
162.159.204.182:1843,100.00%,1000 ms
162.159.204.231:1843,100.00%,1000 ms
162.159.204.231:2408,100.00%,1000 ms
162.159.204.172:2408,100.00%,1000 ms
162.159.204.33:2408,100.00%,1000 ms
162.159.204.49:1843,100.00%,1000 ms
162.159.204.72:1843,100.00%,1000 ms
162.159.204.0:2408,100.00%,1000 ms
162.159.204.72:2408,100.00%,1000 ms
162.159.204.178:2408,100.00%,1000 ms
162.159.204.71:2408,100.00%,1000 ms
162.159.204.17:2408,100.00%,1000 ms
162.159.204.182:2408,100.00%,1000 ms
162.159.204.152:1843,100.00%,1000 ms
162.159.204.39:1843,100.00%,1000 ms
162.159.192.122:2408,100.00%,1000 ms
